14.10.2025:08:52:32.520;11.7139;126.632;1468.04;1
14.10.2025:08:52:32.540;11.6519;126.712;1461.63;1
14.10.2025:08:52:32.560;11.6519;126.712;1461.63;1
14.10.2025:08:52:32.580;11.6459;126.646;1457.83;1
14.10.2025:08:52:32.600;11.5977;126.696;1453;1
14.10.2025:08:52:32.620;11.4765;126.681;1438.75;1
14.10.2025:08:52:32.640;11.5217;126.143;1446.6;1
14.10.2025:08:52:32.660;11.4895;126.714;1442.46;1
14.10.2025:08:52:32.680;11.4106;126.144;1431.14;1
14.10.2025:08:52:32.700;11.3714;126.732;1424.33;1
14.10.2025:08:52:32.720;11.4041;126.694;1430.95;1
14.10.2025:08:52:32.740;11.4113;126.152;1431.27;1
14.10.2025:08:52:32.760;11.3063;126.762;1418.45;1
14.10.2025:08:52:32.780;11.2234;126.202;1409.74;1
14.10.2025:08:52:32.800;11.2503;126.748;1410.32;1
14.10.2025:08:52:32.820;11.2483;126.747;1413.66;1
14.10.2025:08:52:32.840;11.2306;126.192;1410.64;1
14.10.2025:08:52:32.860;11.1743;126.786;1401.37;1
14.10.2025:08:52:32.880;11.2072;126.736;1407.03;1
14.10.2025:08:52:32.900;11.2162;126.735;1406.53;1
14.10.2025:08:52:32.920;11.2007;126.724;1406.25;1
14.10.2025:08:52:32.940;11.2177;126.232;1410.36;1
14.10.2025:08:52:32.960;11.2288;126.754;1408.61;1
14.10.2025:08:52:32.980;11.1662;126.747;1402.75;1
14.10.2025:08:52:33.000;11.191;126.87;1405.52;1
14.10.2025:08:52:33.020;11.1671;126.871;1404.35;1
14.10.2025:08:52:33.040;11.0666;126.413;1393.76;1
14.10.2025:08:52:33.060;11.0802;126.975;1394.42;1
14.10.2025:08:52:33.080;11.0523;126.954;1391.32;1
14.10.2025:08:52:33.100;11.0213;127.036;1386.65;1
14.10.2025:08:52:33.120;10.9741;127.056;1383.38;1
14.10.2025:08:52:33.140;10.9928;127.088;1383.59;1
14.10.2025:08:52:33.160;10.9973;127.083;1385.45;1
14.10.2025:08:52:33.180;10.9754;126.582;1384.65;1
